用户名       ,时间                  ,问题内容,答案内容
ntcwer    ,2025-03-18 16:28:45 ,普通用户能体会到 CPU 的性能差距吗？,能 因为我家买台式机都是跨越n代的。。。。。。。 第一台台式机是486 第二台是Intel Core 2 Duo 第三台是Intel Core i9-10900kf 这样的CPU的性能差距非常明显。。。。。。属于是个人都能看出来，因为差距太大了。。。。。。
ntcwer    ,2025-03-18 11:42:22 ,如果在夷陵之战时，陆逊放火就碰见老天爷下暴雨，刘备能否趁势反击，一举反败为胜？,刘备没法获胜。 蜀军孤军深入，而且疫病流行，东吴的水军基本上控制长江水道，蜀军补给困难。在这样的情况下能够和本土作战的吴军对峙已经很不容易了。 陆逊放火也是在进攻时利用火势分割蜀军，就算火被暴雨浇灭，水势大涨也对吴军有利，水军就可以支援陆军，蜀军将遭到吴军水陆合攻，一样会崩溃。
ntcwer    ,2025-03-18 11:24:12 ,windowS11单语言版是否可以升级到英文版?,升级到专业版就行，专业版可以更改系统语言，支持多种显示语言。点击下图这边的更改产品密钥，然后找个专业版的升级密钥就可以升级，要重新激活系统。 如果上边方法不行的话，那就只能下载一个Windows 11专业版的镜像重新安装了，系统还是要重新激活。
ntcwer    ,2025-03-17 09:37:41 ,晋楚大战之地“成濮”在哪？,在山东省菏泽市鄄城西南的临濮集一带。
ntcwer    ,2025-03-17 09:33:36 ,成年老虎和成年河马的咬合力谁更强？在双方都有准备的前提下，一只成年老虎能否单独猎杀一只成年河马？,咬合力肯定是河马更强，成年老虎猎杀有准备的河马基本是上不可能。 成年老虎最多能猎杀下小河马，成年河马而且还是有准备的情况下，老虎很难咬伤皮糙肉厚的河马，还很容易被河马咬伤，如果老虎在受伤状态下被带到水里，容易被鳄鱼偷袭。
ntcwer    ,2025-03-17 09:28:43 ,从大屏换小屏手机有什么感受？,主要是我手上小屏手机（不包括翻盖手机、功能机之类的）均不是全面屏的，买的时间有的也比较早，所以明显是屏占比不如其它大屏手机，而且性能上也不行，除了非常轻薄外，没啥别的感受。 小屏手机如下： 1.Lumia 640：5.0英寸 2.Lumia 950XL：5.7英寸 3.魅族pro7 plus：5.7英寸 4.Google  Pixel 3a XL：6.0英寸 5.荣耀6 plus：5.5英寸 6.索尼爱立信 LT15i：4.2英寸
ntcwer    ,2025-03-14 09:33:51 ,假设二战时期各国海军都有战舰世界里的十级船，那么对海战会有什么变化?,德国的大猴子直接和英战征服者、雷神等近身搏斗，英战在被动放火，提子在旁边放鱼雷，蒙一个是一个。。。。。。俾斯麦在追胡德。。。。。。法军的大共在远处看戏。 日本海军这边没啥变化，白龙被茫茫多的饺子级击沉了，大和和武藏也被击沉，其它的也一点优势都没有，毕竟日本那个穷光蛋帝国主义玩不过美国。
ntcwer    ,2025-03-13 10:43:14 ,西湖醋鱼为什么会难吃？,和草鱼有关系，草鱼土腥味非常重，因此需要用重料来压制住土腥味。 南京这边也就做酸菜鱼、酸汤鱼等才会用到草鱼，后边估计也发现草鱼味道不理想，开始使用青鱼、黑鱼、龙利鱼、巴沙鱼等来做。 西湖醋鱼应该也是同样的问题，草鱼土腥味用醋压不住，那肯定不好吃。。。。。。
ntcwer    ,2025-03-13 09:19:31 ,某公司开会 领导从下午4点骂到晚上10点，骂着骂着突发心脏病倒在地上，其他同事应不应该施救？,先打急救电话吧，然后看戏。 消防通道和停车场门口堵满僵尸车，电梯全部停运，大楼灯全关了，问就是电路故障。 急救人员进入大楼要走个流程，进公司大门也需要，把“人”带走也要，不是电路故障嘛，电脑开机要等一段时间。 还能活着算他命大。。。。。。 至于为什么不上去急救，只打急救电话。 “我是跟乡民进来看热闹的，只不过是往前站了一点，我退后就是了！”
ntcwer    ,2025-03-13 09:13:59 ,如果你是董卓，面对司徒王允献你貂蝉，为了江山当如何破局？,演义的话好办，那就把貂蝉赐给吕布，然后寻机除掉王允和其它大臣，逼汉帝禅位，这样董卓可以先割据，守好关隘，然后等诸侯打得头破血流后，再出兵一个个剿灭。
ntcwer    ,2025-03-13 09:03:26 ,你在《魔兽世界》死得最奇葩的一次是怎么死的？,有一次不知道是啥bug，在诺森德的灰熊丘陵的一座山上打怪做任务，然后网卡了掉线，再上线后角色在空中往远处飘落，等飘到嚎风峡湾触地就挂了。。。。。。
ntcwer    ,2025-03-12 10:45:22 ,如何看待最近抖音上许多在南京看樱花的内容?,樱花（Prunus subg. Cerasus sp.）是蔷薇科、樱亚属植物。是观赏价值的一类植物的统称。樱花品种相当繁多，数目有300种以上，全世界共有野生樱花约150种， 中国有50多种 。全世界约40种樱花类植物野生种祖先中， 原产于中国的有33种。 。。。。。。。 南京的樱花品种包括国产樱花品种，如胭脂绯和飞寒樱。\u200c 胭脂绯是我国科研人员自主选育的国产樱花品种，其花色绯红亮丽，树形开散，观赏价值较高，花期一般在三月上旬\u200c。飞寒樱则是钟花樱桃和山樱花的杂交品种，花瓣呈粉色，花期比普通樱花早一个星期左右，生长速度快，适应性较强，是我国种植面积最广的国产樱花品种之一\u200c。此外，南京还有其他国产樱花品种如初美人樱、牡丹樱、大寒樱、大渔樱、河津樱、迎春樱、红垂枝樱等，这些品种在南京的樱花季中也有出色的表现\u200c。 谁告诉你樱花都是日本的。。。。。。。
ntcwer    ,2025-03-12 10:27:53 ,什么样的船适合被命名为皮皮虾号？,我在navalart里设计的大型导弹驱逐舰（也可以算导弹巡洋舰），代号为“奇虾”（也可以叫恐虾）。 皮皮虾大概率会是常规驱逐舰的代号。 航母和战列舰的代号要么是纯数字，要么是海生爬行动物，皮皮虾轮不上。
ntcwer    ,2025-03-12 10:22:42 ,现今大部分哺乳动物都是六千万年前恐龙灭绝后的同一种哺乳动物的后代吗？,不是，哺乳动物在恐龙时代前就已经开始分化，但是由于伪鳄类和恐龙太过于强势，大部分哺乳动物只能躲在地下，这导致它们趋同进化成耗子模样，俗称“散装耗子”。 白垩纪时期，也有一些哺乳动物挤入大型恐龙空缺的生态位中，与鸟翼类恐龙竞争。
ntcwer    ,2025-03-12 10:12:02 ,3 月 7 日台军一艘导弹护卫舰突发爆炸事故，可能是哪些环节出现问题？,大概是军舰服役时间过长，主炮年久失修造成的。。。。。。 奥托·梅莱拉76mm舰炮已经是很老的炮了，如果维护不当，炸膛就不奇怪了。
ntcwer    ,2025-03-12 09:29:40 ,如果桓温与陈霸先一样过了几年皇帝瘾，他死后会怎么样！?,王谢两家与他不合，如果桓温独立称帝，容易被东晋朝廷和北方异族政权夹击。淝水之战苻坚能打赢，但是要进一步攻打东晋的话，很难突破长江天险，而且前秦内部也不稳定，一旦失利，就会土崩瓦解。 他死后他的子孙很难维持住局面，毕竟刘裕不好对付。还不如不称帝，这样能维持他在现实的结局：追赠丞相，谥号宣武公，丧礼依照司马孚、霍光旧例，又赐九旒鸾辂、黄屋左纛。至少这个结局还算行，总比桓玄要好。
ntcwer    ,2025-03-12 09:11:25 ,如果你是曹叡，会如何评价新“帝国双璧”满宠和司马懿对吴蜀的战绩？,他们两人肯定是魏国的中流砥柱，司马懿阻止了蜀汉的北伐，满宠也阻止了吴国的进攻。 两线作战都赢了，可不得大夸特夸。。。。。。 如果我是曹叡，这两都能封为异姓王了。
ntcwer    ,2025-03-11 09:16:36 ,30岁还在玩魔兽世界，是什么心态?,我35了，玩魔兽就当个乐子人。。。。。。。 大号刷地下堡，以及8.0和9.0的副本。 小号刷7.0以前的副本。 今天玩部落，明天联盟起个号cos血色十字军。。。。。。 实在不想去副本，还能游戏里钓鱼，捉小宠物，半山种菜。 魔兽世界有个好处就是你想怎么玩就怎么玩，不需要在乎别人的看法。。。。。。
ntcwer    ,2025-03-11 09:07:36 ,为什么现在许多人的手机，都不再贴膜了?,感觉和屏下指纹和超声波指纹普及有关系，如果钢化膜太厚可能会有影响。 另外大部分手机出厂自带的膜就够用了，足够用到手机退役。（主力手机一部用个3-4年也差不多了）现在手机的屏幕也比以前耐摔了。 由于我的主力手机（华为mate40pro和小米14u）都摔坏过外屏，所以还是会贴膜，不过都是自己贴的。
ntcwer    ,2025-03-11 08:55:40 ,如果海军舰艇再扩大一倍，怎么命名啊?,没地级市还可以用县级市，后边可以用区，再后边可以用古代城市名称，再往后前边的该退役了，名字就空出来了。
ntcwer    ,2025-03-11 08:52:07 ,黄巾起义要是没失败起码形成一个割据政权的话，政治制度会是什么样的?,政治制度肯定是照抄东汉的，因为没有什么参考对象，以黄巾军的能力也创造不出更先进的政治制度。黄巾军割据范围内的士族会被赶尽杀绝，然后黄巾军高层占据他们的位置。（有部分士族会逃亡，加入其他割据势力）经济上前期可能可以做到“耕者有其田”，但是后期也逃不过土地兼并的命运。 结局要么是被更强大的割据势力消灭，要么是内乱自我消亡，他们宗教那套压根就站不住脚。
ntcwer    ,2025-03-10 14:25:28 ,以拿战时期的技术能否制造马克沁机枪与后膛加农炮？,击发枪在拿破仑时代已经出现，但是没有完善，不过应该也能整个机枪出来，可以参考帕克尔转膛枪。18世纪初帕克尔转膛枪已经诞生，而且英国人用这种枪打过法国人。 后膛加农炮应该也不难吧，像弗朗机炮就属于后膛炮，所以技术上没啥问题。
ntcwer    ,2025-03-10 12:21:09 ,你觉得魔兽世界11.1好玩吗？,安德麦地图有些阴间，地图小不说，飙车经常跑出街道，然后撞在路边，后来忍无可忍换其它坐骑。。。。。。有些地方怪还扎堆，经常跑着跑着就引到怪，然后被围殴。。。。。。。 第二赛季开了后，就回到其它地图去刷地下堡了，其中4-6层用冰dk就能打过，7-8层用血dk打过。感觉地下堡难度没怎么变化，比较适合休闲玩家。（注：第二赛季开始前，dk号装等只有600出头）
ntcwer    ,2025-03-10 12:10:28 ,中国古代怎么投降的？,子婴这次是最经典的：“子婴即系颈以组，白马素车，奉天子玺符，降轵道旁。” 后边的帝王投降仪式基本上是有样学样，有时候会加上一些行为艺术，比如自缚、带着棺材等。 白旗最早作为投降用是出现在古罗马，然后我国也开始用了（用的是白幡），这点倒是趋同。
ntcwer    ,2025-03-10 09:43:21 ,睡前看手机，你没有被手机砸到过脸？,我不仅被手机砸过，还被平板砸过，不过看的时间很短就入睡了。
ntcwer    ,2025-03-06 10:34:21 ,三国演义中，“白马斩颜良”、“威震逍遥津”、“定军斩夏侯”，从纯军事角度看这三种情况哪种含金量更高？,从结果来看，“定军斩夏侯”含金量高一些，因为拿下汉中，蜀汉拥有北伐的前哨站，如果配合荆州的关羽，那就能完成“隆中对”的战略设想。夏侯渊其实不应该亲自去救火以及修补鹿角，而是派人去，只要夏侯渊不死，魏军不会大乱，稳住阵脚后求援于曹操，等援军到来，或许有转机。 “白马斩颜良”只是让袁绍损失大将，在当时的情况下并未改变战局。颜良是被偷袭的，这个也不是没办法防，首先袁军分兵延津也可以，白马要做好防御的准备，颜良固守白马，不要出去迎敌。 颜良和夏侯渊的问题是一模一样，解法也类似，翻盘不一定，但是不至于杀身丧命。 “威震逍遥津”这个玩梗的更多，结果上曹军也没能击杀孙权，或者渡江灭了东吴，东吴也无力伐魏。是以少胜多的典型战例，战略上也影响了东吴的后续策略。这仗就是东吴打不过，没啥翻盘的可能，除非魏军上船，水战东吴才有胜算。
ntcwer    ,2025-03-06 10:08:28 ,明清皇帝如果想强占藩属国朝鲜的王后，朝鲜国王会答应吗？,这得看朝鲜国王的骨气了，硬气点的直接反了，打输了再说。软弱点的会答应，然后背后骂街。
ntcwer    ,2025-03-06 10:05:07 ,北魏孝文帝力行汉化，而忽略了对代北六镇的安抚，是不是可以说，他对北魏的灭亡负有不可推卸的责任？,北魏分裂和灭亡与孝文帝改革没啥关系。不过元宏、元恪都英年早逝，这个对北魏政局有深远影响。 后边元诩和胡太后争权，北魏政局不稳，再加上错误的政策，导致六镇起义，平定起义后，北魏一蹶不振。因为六镇问题，尔朱荣势力做大，这导致了河阴之变，结果是高欢和宇文泰崛起，北魏分裂，最后被北齐和北周取代。 感觉元诩和胡太后才应该背这个锅。。。。。。
ntcwer    ,2025-03-06 09:42:28 ,折家将的地盘成为后周和北宋的飞地，为什么没有被北汉或辽国吞并？,辽国目标还是中原，如果能击败北周和北宋，那么折家将只有投降或者死磕，到那时再收拾也不迟。而且折家将起兵就是因为契丹南侵，辽国如果能打过早就打了。 北汉算辽国的小弟，还得面对后周和北宋，完全腾不出手，也没有自主出兵的能力。
ntcwer    ,2025-03-06 09:29:53 ,为什么欧美科学家这么执着于复活猛犸象？,主要是猛犸象有完整的标本在冻土层中发现，灭绝时间也相对较晚，并且能够提取到DNA。 另外克隆技术有发展，这也提供了复活的可能。
ntcwer    ,2025-03-05 10:54:11 ,如何看待“高欢”为国当鸭而迎娶“蠕蠕公主”？,高欢是不得不和柔然“和亲”，要不然柔然联合西魏进攻东魏（北齐），高欢根本扛不住。 能够稳住柔然这头的话，对高欢来说就只要面对西魏这一个敌人了。“为国当鸭”只能说是个调侃罢了。
ntcwer    ,2025-03-03 12:24:09 ,为什么南京人喜欢称“朝天宫”，外地游客喜欢称“南京市博物馆”？后者不是很容易和南京博物院混淆吗？,因为南京市博物馆是在朝天宫里边，朝天宫指代的是那一块地方，参考百度地图，可以看到朝天宫的范围很大，南京市博物馆只是其中一部分。 不过外地游客确实容易混淆，一字之差地点就不一样了。不过也好记，南京博物院离中山门不远，南京市博物馆在市区里。 另外冶城位于朝天宫一带，是春秋末年吴王夫差在今南京城西的一个小土山上筑起一座土城，也是南京“城”的胚胎。
ntcwer    ,2025-03-03 10:23:49 ,武则天喜欢以天降符瑞增强自身天命，却有李昭德和杜景俭打假，前者为什么没有把后者怎么样？,李昭德有些倒霉，和来俊臣一起被斩了，不过被杀原因和打假天降符瑞没啥关系，杜景俭倒是善终。 武则天登基前、登基前中期对天降符瑞非常在乎，但是中后期也无所谓了，也知道这些都是人造的，毕竟通过这些手段已经达到巩固帝位的目的，已经不需要这些手段来增强自身天命，所以这两人也就不会因此被杀。 可惜李昭德赶上了武则天另外一个巩固帝位的手段--滥用酷吏。。。。。。结果被诬告，然后被杀。。。。。。只能说虽然武则天当时已经不想继续用酷吏了，但是你有谋反的嫌疑，那你只能去死。。。。。。
ntcwer    ,2025-02-28 09:21:15 ,把皇帝吃到嘴里的感觉是怎样的？,那些啃木乃伊的西方人最清楚法老是什么味道，虽然法老不是皇帝，但也是君主。 侯景也算，被人分食了，骨灰还被掺酒喝了。 长安百姓也品尝过王莽的舌头。（《汉书》：传莽首诣更始，悬宛市，百姓共提击之，或切食其舌。）
ntcwer    ,2025-02-28 09:12:32 ,“蜀汉”为什么没有像“东吴”任用本土士族势力？,蜀汉前期没怎么用本土士族势力，是因为刘备初创团队都不是出自西川，只有入川以后，才开始使用本土势力，但是初创团队还在，不可能放在一边不用。 东吴是不得不任用本土势力，因为东吴为外来政权，不拉拢本土势力，那就没法割据了。
ntcwer    ,2025-02-28 09:03:30 ,为什么侯景几百人就能宰割梁朝？,梁朝内部太乱了，积累了从东晋到梁朝的所有矛盾。 侯景是把火药桶点了，但是萧衍一死，火药桶里的火药燃尽了，侯景这把火也要熄灭了。 主要还是南朝基本上都是夺的前朝江山，而且自己人也在争。萧衍在时，其它同族不好动手，侯景作乱时，可以乘机除掉萧衍。萧衍一死，侯景这个工具人也会死。
ntcwer    ,2025-02-27 09:24:03 ,中国若出一三国游戏，技术跟黑神话差不多，编剧请朱苏进能火不？,感觉这游戏剧情也能被各种不同角度吐槽。。。。。。。就和新三国一样。。。。。。 然后这游戏可能除了画面外，可能不叫三国更好。。。。。。。
ntcwer    ,2025-02-27 09:07:47 ,为什么石虎已经追尊了他爷爷为武皇帝，但是他自己的谥号也是武皇帝？,估计是羯人搞不清楚庙号、谥号等是怎么定的。然后石虎认为自己爷爷很强，就随便找了个谥号追尊一下。至于石虎为什么谥号和他爷爷一样，那就可能是石虎认为自己和爷爷一样强。
ntcwer    ,2025-02-26 13:52:00 ,除了中国之外，你玩《文明》系列最喜欢用哪个国家/文明？,文明5玩得多一些。 那就只有东罗马帝国（拜占庭，领袖是狄奥多拉）最喜欢用了，甚至用的频率超过中国。 其次就是中国，算上模组的孙中山、凯申兄和太祖。 排名第三的是俄罗斯，主要用的是模组里的阿纳斯塔西娅，叶卡捷琳娜反而出场较少。
ntcwer    ,2025-02-26 10:30:55 ,如果你是诸葛亮，会同意魏延奇袭子午谷的方案吗？,不会，走子午谷太冒险了。 我倒是会直接出斜谷（实际应该是陈仓道），进攻陈仓，然后伺机收复长安。 只要控制关中，陇西也就容易收入囊中了。 注：《三国演义》里的斜谷在陈仓以西，应该是要圆六出祁山的故事，斜谷和祁山的位置和现实不太相符。
ntcwer    ,2025-02-26 10:23:18 ,如果你是彭乐，面对宇文泰告诫兔死狗烹，以金银财宝收买放行，你会怎么做？,当然是抓了宇文泰，交给高欢处置，后边有啥事再说。 作为大将放走敌人头目，这怎么也说不过去。。。。。。也就演义里，关羽放了曹操，但是彭乐和高欢的关系，肯定没到关羽和刘备的程度，所以放走宇文泰是在作死。
ntcwer    ,2025-02-25 11:12:06 ,有哪些适合在安卓手机上，跑ARM版Windows的虚拟机APP？,我记得只有pixel 6系列可以，这部手机的Android 13版本支持kvm，因此可以用kvm来跑ARM版Windows 11。 其它的不清楚，大部分都不支持，就算能跑运行效率极低。 除此之外一部分骁龙芯片的手机可以刷入Win11 arm版，体验也比虚拟机要好，但是由于驱动不是都支持，因此支持程度不同。
ntcwer    ,2025-02-25 09:17:56 ,文明7为什么没有中世纪？,这就是我不怎么玩文明7的原因，割裂感太强。 政权更迭的路线总感觉少些东西，只能看后续更新有没有变化。
ntcwer    ,2025-02-24 10:43:56 ,在你玩过的恐怖游戏中，有哪些真正让你感到恐惧的场景？,晚上关灯戴耳机玩的寂静岭1，场景是学校，虽然画面不吓人，但是怪出现时收音机的响声再加上游戏音效。。。。。。吓得我直接开灯玩，不然感觉黑暗中有怪物在靠近，身体也是感觉体温在不断下降，像见了鬼似的。
ntcwer    ,2025-02-24 10:27:29 ,作为殖民大国，近代法国海军为什么远远被德二甩在身后，只能去和奥匈意大利玩澡盆争霸?,法国海军对付殖民地就够用了，至于和英国争霸，他们没这个能力。拿破仑时期曾经努力过，但是战败了。普法战争后至一战前英法基本上算穿一条裤子，法国由于和德国接壤，那么军事工业重心会放在陆军上，海上的威胁交给英国海军处理，法国海军作为辅助。 德二不一样，海军要挑战英国的霸权，那么海军是对标英军发展的，所以在拼命下饺子。
ntcwer    ,2025-02-24 10:20:04 ,是否是北方汉人中基本没有五胡后人？为什么？,有部分胡人是因为古代没有民族概念，汉人是文化认同，那么一部分胡人本身就是汉族，只不过文化与中原有异，被列入胡人范畴。这些人在胡人乱华时，回归然后重新汉化变为汉人。 除此之外，部分胡人与汉人通婚，再加上我国北方战事、天灾频繁，胡人血统最终被稀释殆尽。
ntcwer    ,2025-02-24 09:50:12 ,二战开战前日本海军对于伊势级和扶桑级的定位到底是什么？,扶桑级是（日本）国产超无畏舰，在刚建成时是当时世界上排水量最大、速度最快的战舰，到二战前就落伍了。伊势级是扶桑级的改进型，这两级战舰因为设计有缺陷只能当训练舰用，伊势级待遇稍微好点，经常用来测试雷达、防空等新设备，后边改造成航战，但是没有飞机使用。 打杂是金刚四傻的事情，长门级和大和级属于最终决战兵器，一般不使用，这两级战舰确实有些鸡肋。
ntcwer    ,2025-02-21 09:04:22 ,Windows 12 Alpha Build 内测版的桌面壁纸哪里下载？,win12没有泄露的镜像，所以无法提取系统自带壁纸。 你可以试试用ai抠图。
ntcwer    ,2025-02-21 08:49:49 ,引发“苏峻之乱”的庾家为什么没事似的？凭什么列入“王谢桓庾”？,因为庾家也是世家大族，仅次于王谢桓三家，所以放在一起没啥问题。 王家亲自下场搞过王敦之乱，桓家也一样搞过桓楚，庾家引发苏峻之乱算小儿科了。但是以上事件不影响他们是世家大族。
ntcwer    ,2025-02-20 10:01:32 ,为什么很多人会害怕蜘蛛，但是不害怕螃蟹？,螃蟹可以吃，哪怕夹了你，你还是会蒸了它，所以不怎么感到可怕。当然放一只钳子巨大的海蟹，那还是会怕，毕竟规避伤害是生物本能。 而对蜘蛛的恐惧，可能还是怕蜘蛛咬人，一般也是后天形成的。
ntcwer    ,2025-02-20 09:30:04 ,在阿里、腾讯、华为云上，为什么大部分人基本上都是选择Linux镜像，而非Windows镜像？,一般还是按使用需求选的，可能Linux发行版更适合他们的使用场景。 再加上Linux发行版都是开源的，有不同的版本可以选择，Windows server选择余地就小很多。 我单位使用云端服务器是一半对一半，有些服务部署在Linux环境里，有些部署在Windows上。
ntcwer    ,2025-02-19 14:21:32 ,哪吒 2 里的石矶娘娘是什么种类的石头？从最后的小石头「东山再起」需要多久？,《封神演义》里说的是顽石。顽石就是非常坚硬的石头，泛指金刚石、玉石、宝石、钻石之类的石头。 \u200c 金刚石 \u200c：大部分金刚石主要形成于33亿年前以及12-17亿年这两个时期。有些金刚石的年龄甚至可以达到45亿年左右\u200c。 \u200c 玉石 \u200c：玉石的形成时间跨度较大，可以从几百万年到几千万年不等。玉石的形成通常与岩石的风化和沉积作用有关，这些过程需要长时间的地质作用和自然侵蚀\u200c。 \u200c 宝石 \u200c：宝石的形成时间也因种类和成因不同而异。例如，红宝石和蓝宝石等宝石级刚玉的形成时间可以追溯到几百万年到几千万年前，它们通常在岩浆活动中结晶形成\u200c。 \u200c 钻石 \u200c：钻石（即金刚石）主要形成于地球的地幔层，深度大约在150-200公里处。钻石的形成条件非常严格，需要在1100到1500摄氏度的高温和4.5到6Gpa的高压下形成。大部分钻石形成于20亿至30亿年前，有些甚至可以达到45亿年左右\u200c 那东山再起是遥遥无期了，可能这系列电影拍完都没法再次出镜。。。。。。。除非她能穿越时空。 不过这个石矶娘娘有点像。。。。。。隔壁魔兽世界里的石母塞拉赞恩。。。。。。
ntcwer    ,2025-02-19 09:10:16 ,如果你的天花板上漏了一个洞，你会怎么样？,从楼上单位掉下一个人。。。。。。 结果是砸坏电脑，可以下班了。。。。。。
ntcwer    ,2025-02-19 09:08:36 ,能帮忙确认一下这是蟑螂吗?,是，这就是蟑螂（德国小蠊）。
ntcwer    ,2025-02-19 09:07:28 ,高澄的诸子为什么没有像阖闾对帝位另有企图？,因为高湛“以史为鉴”，在高洋时就害死高浚、高涣，高淹也有说法是被高湛毒死的。 然后在位时整死了高孝瑜、高孝琬、高绍德、高百年等人。 这几波操作后，基本上为高纬当皇帝扫清障碍，阖闾之事就成不了。。。。。。
ntcwer    ,2025-02-18 09:40:08 ,《全面战争》系列中，哪一款比较适合新手？,罗马全面战争1，甚至不需要买重制版，亚历山大的dlc也无所谓，本体+蛮族入侵足够了。 主要是上手简单，非常适合喜欢玩骑兵大规模冲锋的，而且有些阵营有卷镰战车，自动流无敌。另外mod也不少，可玩性都挺高。 其次是中世纪2全面战争，虽然面对蒙古和帖木儿入侵可能有些棘手，但是玩法更多，而且有火器。mod也是非常多。
ntcwer    ,2025-02-18 08:53:23 ,怎么评价曹睿之妻郭太后协助司马家族抹黑曹芳曹髦?,郭太后也没办法，甚至这些抹黑的内容也不是她写的，她只负责宣布。如果不去抹黑，她自己就可能被废，而换了皇帝后，她依然是太后，享有原来的地位，司马氏还能给她点面子。在生命和利益面前，她真的没办法。
ntcwer    ,2025-02-18 08:47:56 ,南京幕府山达摩古洞在2016年开发建设景区之前是什么样子的？,不清楚 那时候的幕府山还是个荒山，由于过度开采，整个山体显得很突兀，像被什么切了一半的感觉。 反正小时候没怎么去那边，只能在远处看着。
ntcwer    ,2025-02-17 10:18:53 ,《天国：拯救2》里通常会把食材放到一口大锅里炖煮，这种做法是当时中世纪欧洲人的饮食习惯么？,是 这种炖煮属于最基础的烹饪方式，在中世纪时期各国都会使用（包括我国）。主要就是方法简单，找个陶罐、大锅等可以装大量食材和水的器皿，然后烧火放上边炖煮，根据熟透的时间依次放入食材，最后就煮出一锅杂烩汤，每人也容易分配，然后人们可以就着面包等面食吃，有汤也容易下饭。
ntcwer    ,2025-02-17 09:46:34 ,如果司马颙不杀魔将张方，能否守住关中保命？,守不住，主要是司马颙打不过司马越。 另外也有其它原因使司马颙不得不杀张方。 1.张方行为太出格，对晋惠帝态度也不好，这样也导致其它诸侯王不满，司马颙也会得不到其它诸侯王的支持，杀张方可以缓和一些。 《晋书·卷六十·列传第三十》：方在洛既久，兵士暴掠，发哀献皇女（司马女彦）墓。军人喧喧，无复留意，议欲西迁，尚匿其迹，欲须天子出，因劫移都。乃请帝谒庙，帝不许。方遂悉引兵入殿迎帝，帝见兵至，避之于竹林中，军人引帝出，方于马上稽首曰：“胡贼纵逸，宿卫单少，陛下今日幸臣垒，臣当捍御寇难，致死无二。”于是军人便乱入宫阁，争割流苏武帐而为马帴。方奉帝至弘农，颙遣司马周弼报方，欲废太弟，方以为不可。 《资治通鉴·晋纪七》：河间王顿军于郑，为东军声援，闻刘沈兵起，还镇渭城，遣督护虞夔逆战于好畤。夔兵败，惧，退入长安，急召张方。方掠洛中官私奴婢万余人而西。军中乏食，杀人杂牛马肉食之。 由上文可见，这张方就不是人。。。。。。 2.某些说法也导致司马颙生疑。 《晋书·卷五十九·列传第二十九》：方谓颙曰：“方所领犹有十余万众，奉送大驾还洛宫，使成都王反邺，公自留镇关中，方北讨博陵。如此，天下可小安，无复举手者。”颙虑事大难济，不许。 司马颙会怀疑这张方手握重兵脱离控制，是不是想自立。 不过司马颙杀了张方，也加速了败亡。不杀的话，各地诸侯依然不满，甚至内部也很难稳定，只要有人打着勤王的旗号，司马颙很难招架。
ntcwer    ,2025-02-17 09:01:57 ,为什么三国无双起源中袁术的人设没有像张角、董卓等人大改，而是成为了唯一的小丑？,袁术无论在正史还是演义里都是小丑。。。。。。 虽然手上牌面不是顶尖的，但是不至于打得稀烂，结果他还真做到了。 比起张角和董卓，袁术真的啥都展不开，各种下饭操作，最后也死得也挺滑稽。。。。。。所以没啥可大改的。
ntcwer    ,2025-02-15 19:29:53 ,大脑有褶皱是为了增加表面积，那核桃仁为什么会进化出皱纹？,问了copilot，它的回答是：核桃仁的皱纹实际上是其种子的表皮结构。这种复杂的表皮结构不仅增加了种子的表面积，有助于吸收更多的水分和养分，还能在坚硬的核桃壳内提供更多的保护，以避免外界的物理损伤和虫害。这种结构是通过自然选择逐渐进化出来的，以帮助核桃更好地适应环境并成功繁殖。这种皱纹状的表面可能也有助于分散和传播种子，因为其独特的形状和质地可能会吸引一些动物，将种子带到新的地方。 很明显这是一种适应环境的演化策略，但是也不排除有人工培育的因素。 这也是某种意义上的趋同进化（趋同进化即源自不同祖先的生物，由于相似的生活方式，整体或部分形态结构向着同一方向改变。），核桃与人的脑壳环境有些类似，坚硬的外壳就像头骨，虽然不是一个概念上的东西，但是创造出了类似的环境，因此核桃仁和人脑出现了趋同的特征，这也印证了大部分生物有个共同祖先。
ntcwer    ,2025-02-14 11:12:40 ,美总统特朗普宣布对美贸易伙伴征收「对等关税」，此举影响有多大？对哪些国家和地区影响较大？,实际还是想向我国加征关税，对其它国家加征那是为了掩饰，然后执行日期能一拖再拖。 这样无论哪样都会对美国有利，他这个还是商业思维。
ntcwer    ,2025-02-14 10:54:31 ,为什么现在的手机又拍不清楚月亮了？,我用小米14U拍过月亮，因为拍照时手会抖，所以拍不清楚，直拍的最好是下边这张。 也用超级月亮模式拍过。 当时直拍是这个样子。。。。。。这是奥特曼要出来还是咋的。。。。。。 用了超级月亮模式下好了些。
ntcwer    ,2025-02-14 10:26:22 ,驱逐舰尾部的直升机甲板是否可以承载垂直起降战机？,首先承载没啥问题。 但是驱逐舰的尾部直升机甲板空间还是太小，下方也无法增加机库，因此载机量就很成问题。 就算甲板上只放1-2架战机，驱逐舰在高速航行时，垂直起降战机无论起飞还是降落都有危险，尾焰温度一般甲板也扛不住，改装的话，费用咋办，关键就靠几架战斗机也形成不了战力，垂直起降战机的航程也受限。 这种半航母半战舰的设计基本上都不伦不类，不如分开去搞航母和导弹驱逐舰了。
